Titulo;URL;Data;Noticia;Classe;QNT DE ERROS GRAMATICAIS;QNT CARACTERES;QNT PALAVRAS;QNTD LETRAS MAIUSCULAS;QNTD PONTUACAO;QNTD ADJETIVOS;QNTD SUBSTANTIVOS;QNTD VERBOS;QNTD ADVERBIOS;QNTD SUBSTANTIVOS PROPRIOS;QNTD PRONOMES;SENTIMENTO;PROB NEG;PROB NEU;PROB POS
Não é verdade que Lula tenha anunciado o fim do Bolsa Família caso seja reeleito em 2026;boatos.org;17/08/2026;Lula acabou de anunciar o fim do Bolsa Família, caso seja reeleito presidente nas eleições de 2026. A confirmação de que o Governo Federal fará a suspensão temporária do programa, com filtros mais rígidos pós-eleições, acendeu o alerta em milhões de lares. A justificativa oficial de cruzar dados com o Imposto de Renda e o Tribunal Eleitoral é vista por críticos como o início de um desmonte programado da rede de proteção social do país. Para a bancada de oposição, a estratégia do Palácio do Planalto é adiar o arrocho até a definição das urnas para, depois, promover uma limitação sem precedentes que vai excluir beneficiários urbanos e rurais. Analistas apontam que o endividamento público e as metas fiscais forçam a administração a cortar gastos essenciais, o que levará o presidente Lula a acabar com o Bolsa Família no formato tradicional a partir do próximo ano. A incerteza gerada pela fiscalização intensiva deixou a população vulnerável preocupada com o corte definitivo dos valores depositados no aplicativo. Com isso, a disputa ideológica em torno das narrativas sociais esquentou de vez no cenário político do país.;0;0;1131;184;20;9;16;47;23;2;14;4;2;0,36;0,57;0,07
Político que está na capa da revista The Economist ao lado de Putin e Xi Jinping não é Lula;boatos.org;17/08/2026;Lula na Capa da revista The Economist Esses são alguns dos motivos que levam a acreditar nisso. Lembrando que é apenas uma teoria e todos são bem-vindos para discuti-la de forma respeitosa nos comentários, caso tenham uma visão diferente. Segue o perfil! Lula mantém diálogo frequente com Xi Jinping e Vladimir Putin, que são os outros possíveis líderes que aparecem ao lado dele. O Brasil faz parte dos BRICS ao lado da China e da Rússia, o que frequentemente leva os três países a aparecerem associados em análises geopolíticas. Lula tem defendido um mundo multipolar posição semelhante à defendida por China e Rússia em relação à redução da influência dos Estados Unidos. Em alguns momentos, Lula criticou sanções unilaterais contra a Rússia e buscou manter o diálogo com Moscou, o que gerou repercussão internacional. A proximidade diplomática entre Brasil e China também aumentou nos últimos anos, com novos acordos comerciais e visitas de alto nível.;0;2;956;155;33;9;14;31;17;3;23;12;2;0,05;0,62;0,33
História que aponta que urnas eletrônicas terão agulhas para aplicar vacinas secretamente em eleitores é falsa e absurda;boatos.org;16/08/2026;Serviço de utilidade pública: Corre informação, no WhatsApp, que as teclas das urnas eletrônicas trazem, embutidas, diversas micro agulhas com um coquetel de vacinas. Então se você bozoloide, não vá votar. Essas agulhas comunistas querem infectar vocês. Gente, não sei se é verdade, mas ouvi dizer que o governo constatando a drástica queda no índice de vacinação preparou as urnas eletrônicas com as teclas de ENTRA equipadas con micro agulhas que injetam vacinas chinesas e nas pessoas.;0;3;488;77;12;8;7;22;14;3;3;2;2;0,24;0,73;0,03
É falso que governo Lula tenha colocado hidrômetros em poços para cobrar taxa de água;boatos.org;16/08/2026;Pergunta para os deputados que votaram isso: você não tem vergonha na cara, não, de tirar água da boca das pessoas que têm sede? Porra, eu acho que essas pessoas deveriam queimar no inferno, cara. Ó, me desculpa aí Olha, pessoal, eu fui procurar algumas reportagens da época do Bolsonaro para saber quanto quantos poços artesianos ele abriu no Nordeste, né? Então, assim, se você dá um Google, vai mostrar que mais de 5 mil poços artesianos foram abertos, de graça, para eles, para o povo nordestino. Aí eu vi também o o site do PT falando que o Bolsonaro gastou 1,2 não sei se é milhões, acho que é milhões de reais para abrir poços artesianos. Aí falaram lá que era uma farra do dinheiro, que eram poços sem água e um monte de coisa. Enfim, Bolsonaro perdeu, né, as eleições, Lula entrou E aí o que é que eles fizeram? Eles colocaram hidrômetro nos poços artesianos abertos pelo antigo presidente Jair Messias Bolsonaro. Isso é uma lástima, né?;0;6;946;170;22;27;8;33;25;14;10;17;3;0,89;0,09;0,02
É falso que Janja disse que Lula a nomeou como embaixadora do Brasil nos Estados Unidos;boatos.org;14/08/2026;AGORA VAI! Governo Lula nomeia Janja como embaixadora do Brasil nos EUA, no lugar de Maria Luiza Viotti, que teve o visto cancelado pelo governo Trump. Meus queridos jegues comunistas, trago notícias bombásticas: o grande estadista Lula decidiu me nomear embaixadora do Brasil em Washington. Sim, meus amores, agora sou oficialmente a ponte entre o Brasil e os Estados Unidos. Minha missão será de altíssima relevância nacional. Lula quer que eu use meu sorriso irresistível, meu carisma arrebatador, meu charme hipnótico e, claro, minha habilidade ímpar de convencer até pedra virar areia. Na verdade, eu sou a única esperança para solucionar os graves problemas que o Brasil enfrenta. Minha primeira tarefa será acabar com o tarifaço de 50% que o Trump meteu na cara dos nossos companheiros que fizeram o L. A segunda tarefa será reativar os vistos dos ministros do STF, porque eles amam tirar férias em Miami e fazer compras por lá também. A terceira tarefa será cancelar a Lei Magnitsky imposta ao nosso incompreendido patriota Alexandre de Moraes. A quarta tarefa será convencer Trump a deixar de ser amigo do Boso. A quinta e última tarefa será convencer Trump a se tornar um grande amigo de Lula e fazer campanha para a reeleição dele. Para garantir o sucesso da missão, eu vou dar tudo de mim. Vou dar absolutamente tudo o que o presidente Trump quiser. Convenhamos, essa missão vai ser mais fácil que roubar doce de criança. Não se preocupem, vou manter vocês informados. Beijos molhados da Kenga Janja.;0;2;1512;253;58;16;22;46;35;11;33;16;1;0,03;0,44;0,53
Lista que aponta que secretários do governo de Eduardo Paes serão do PSOL, PCdoB, PT e outros partidos de esquerda é falsa;boatos.org;13/08/2026;EDUARDO PAES GOVERNADOR E SEUS SECRETARIOS SECRETARIO DE SEGURANÇA: CEL IBIS (PSOL) SECRETARIO DE POLICIA MILITAR: CEL ROBSON (PSOL) SECRETARIO DE POLICIA CIVIL ORLANDO ZACONE ( PDT) SECRETARIO DE EDUCAÇÃO: FREIXO (PT) SECRETARIO DE SAÚDE: JANDIRA FEGHALI (PCdoB) SECRETARIO DE TRANSPORTE: LEONARDO PICCIANE ( PV) SECRETARIO DE DIREITOS HUMANO: ANIELLE FRANCO (PT) SECRETARIO DE CULTURA: RENATO CINCO (PV) SECRETARIO DE ESPORTE: MARCO ANTONIO CABRAL ( SOLIDARIEDADE) SECRETARIO DE OBRAS: RAFAEL PICCIANE (UNIÃO) SECRETARIOS DE FAZENDA: LINDBERG (PT) REPASSANDO!!!! Aí o Carioca vai RECLAMAR DE QUÊ? JURA MESMO QUE VOCÊ AINDA TEM DÚVIDAS DE QUEM VOTAR, OU RAIVA DO EX GOVERNADOR GAROTINHO TEMOS TAMBÉM O CANDIDATO RUAS VAMOS OPTAR POR QUALQUER UM MENOS ESSE VAGABUNDO DO EDUARDO PAES PRA ELE ACABAR DE AFUNDAR DE VEZ COM O GOVERNO DO RJ, COM A ROUBALHEIRA PETISTA, TOMANDO TODO O ESTADO DE ASSALTO ELE VAI ACABAR COM AS POLICIAS DO RIO E JANEIRO SOS, BRASIL!;0;17;957;151;752;20;1;10;3;3;104;0;2;0,07;0,87;0,06
Trump não enviou Força Delta ao Brasil e nem há indícios de que vai sequestrar Lula;boatos.org;11/08/2026;TRUMP QUER LULA DE QUALQUER JEITO LÁ NOS ESTADOS UNIDOS. Fontes do Palácio do Planalto, dizem, que Lula já teve um ataque de fúria ao desconfiar que pode ser preso por Trump antes do início das eleições. Circula na casa branca que Lula está sendo chamado de clone. E já divulgaram isso. Pois as amostras de DNA, que o FBI coleta periodicamente dos chefes de estado que visitam o país não batem entre o lula antigo e o atual. Segundo notícias Trump assinou nesta quinta-feira (06/8), uma lei de estado de emergência para o Brasil, que vai valer até julho de 2027 O que esta deixando o governo daqui em desespero. Quando ele assinou esta mesma lei contra a Venezuela em 2025, tal ato culminou na prisão de maduro 6 meses depois. Militares da Delta Force do Exército dos EUA estariam operando à paisana no Brasil para supostamente planejar uma futura operação para sequestrar o presidente Lula. A alegação foi feita no dia 9 de agosto de 2026 pelo candidato a deputado federal Jeffrey Chiquini O Lula ficou de mimimi lá protegendo os PCC e você vê aí os Estados Unidos não tem conversa fiada com eles não mandou voltar aqui em Brasília agora 2000 soldados de início para eliminar as pccv começa a eliminar né porque eles só matam a gente honesta agora agora eu quero ver se encontra os americanos e vai levar um principalmente um que ficava imitando maduro aí venha vem miraculous nossa nessa democracia saber a nia soube ironia e aí ele vai sair de macacão laranja também mas os outros é isso aí#ishabakshi04 #bolsonaro #foralula #trump #lulapreso;0;11;1545;273;87;7;10;48;46;26;30;17;2;0,2;0,75;0,05
História que aponta que Magno Malta sofreu acidente no motel com travesti bêbado é falsa;boatos.org;10/08/2026;O senador Magno Malta teria sofrido um acidente em um motel acompanhado de uma travesti bêbado.;0;0;95;16;3;0;1;4;2;0;2;0;2;0,08;0,9;0,02
É falso que general Sérgio Pedro Coelho Lima escreveu texto sobre julgamento do Brasil nas eleições;boatos.org;06/08/2026;AINDA TEMOS GENERAL! Texto escrito pelo General de Divisão na reserva Sérgio Pedro Coelho Lima. Em 4 de Outubro de 2026 o Brasil será julgado por si mesmo. Há momentos em que uma eleição deixa de ser apenas uma disputa entre candidatos e se transforma num exame moral de uma nação inteira. O Brasil chegará a esse momento em 4 de outubro de 2026. Naquele domingo, não será apenas um governo que estará em julgamento. Será o próprio povo brasileiro. Depois de décadas de corrupção sistêmica, aparelhamento institucional, crescimento do crime organizado, decadência educacional, esmagamento tributário da classe produtiva e destruição progressiva da confiança nacional, ninguém mais poderá alegar ignorância. O brasileiro conhece o país em que vive. Conhece os hospitais abandonados, as escolas fracassadas, as estradas destruídas, a violência cotidiana, o custo sufocante para trabalhar, empreender e produzir. Conhece também o espetáculo obsceno de escândalos públicos que se sucedem sem vergonha e sem consequências reais. O que estará diante das urnas em 2026 não será uma simples escolha administrativa. Será uma pergunta brutal: O Brasil ainda deseja sobreviver como uma nação séria ou aceitou definitivamente sua condição de república saqueada? Porque há algo profundamente degradante em um povo que aprende a conviver com o escândalo permanente sem reagir. Há algo de moralmente corrosivo numa sociedade que transforma corrupção em folclore, desperdício em rotina e cinismo em inteligência política. Os defensores do atual projeto de poder continuarão dizendo que tudo não passa de narrativa da oposição, que as críticas são exageradas ou que qualquer alternativa representaria ameaça à democracia. Mas o cidadão comum já sente no corpo aquilo que os discursos tentam maquiar: perda de poder de compra, medo nas ruas, desesperança econômica e a percepção crescente de que o Estado brasileiro serve mais aos grupos organizados que vivem dele do que ao povo que o sustenta. Enquanto isso, o país assiste a uma expansão contínua da máquina pública, à multiplicação de privilégios políticos e à asfixia de quem trabalha honestamente. Empreender tornou-se um ato de resistência. Produzir virou punição. Sustentar a própria família exige enfrentar impostos sufocantes, burocracia humilhante e insegurança permanente. Ao mesmo tempo, cresce a sensação de que o Brasil perdeu soberania moral. Parte da elite política demonstra complacência com regimes autoritários estrangeiros, relativiza violações de direitos humanos quando ideologicamente convenientes e trata democracias liberais com mais hostilidade do que ditaduras alinhadas politicamente. Mas talvez o mais grave seja outra coisa: a normalização da decadência. O brasileiro foi lentamente treinado para aceitar o absurdo como inevitável. Aprendeu a rir da corrupção porque perdeu a esperança de combatê-la. Aprendeu a sobreviver em vez de exigir grandeza. Aprendeu a chamar a mediocridade de pragmatismo. É isso que fará da eleição de 2026 um divisor histórico. Se, conhecendo tudo o que viu, tudo o que sofreu e tudo o que lhe foi revelado, a maioria optar novamente pela continuidade do mesmo projeto político, estará fazendo mais do que uma escolha eleitoral. Estará assinando um pacto consciente com o modelo de país que existe hoje. Não poderá depois alegar surpresa diante da estagnação, da violência, do descrédito institucional ou da fuga de talentos e investimentos. Povos também colhem aquilo que decidem tolerar. Nenhuma nação se destrói apenas por causa de maus governantes. Nações se destruírem quando seus cidadãos passam a considerar a degradação algo normal. Mas existe outro caminho. Se o Brasil escolher uma ruptura real com o ciclo atual, elegendo lideranças comprometidas com responsabilidade fiscal, liberdade econômica, combate duro ao crime organizado, valorização do mérito, redução do peso do Estado e defesa firme das liberdades individuais, talvez ainda seja possível recuperar algo que o país vem perdendo há muito tempo: dignidade nacional.m;0;5;4027;612;68;40;61;148;95;39;14;41;2;0,17;0,68;0,15
É falso que fábrica de fake news da extrema direita nas eleições é descoberta pela Polícia Federal;boatos.org;03/08/2026;Versão 1: Exclusivo! No Fantástico essa noite vc não pode perder reportagem exclusiva em primeira mão da operação da polícia federal em Diadema nesse domingo na fábrica das mentiras e da promoção pessoal de candidatos da extrema direita.Os robôs programados para iludir e enganar vc. É o desafio da reportagem mostrando os bastidores do engajamento de candidatos nas campanhas políticas em redes sociais. Logo mais depois de Luciano Huck no Fantástico. A Conferir! Versão 2: e VS, Hoje domingo (02/08), PF prende Grupo em Diadema SP na manipulação de informações sobre pesquisa eleitoral a favor do FBolsonaro. Justamente de manhã na região aconteceu a Convenção da Homologação da candidatura do Presidente LULA.;0;7;712;112;33;6;8;32;10;6;15;0;2;0,17;0,71;0,12
É falso que Lula disse que motoboys não precisam estudar porque nasceram para fazer entregas;boatos.org;01/08/2026;Lula manda recado para os motoqueiros: Motoboy não precisa estudar porra. Eles nasceram só para fazer entrega. Será que vocês não percebem isso? Será que vocês não percebem que motoboy não nasceu para estudar? Motoboy nasceu para fazer entrega. Estudar é para filho de playboy. E motoboy é para fazer entrega com promoção ou sem promoção.;0;1;338;56;8;3;0;11;16;5;4;4;3;0,68;0,25;0,07
Fake que aponta que Donald Trump anunciou que vem ao Brasil para visitar Jair Bolsonaro volta a circular na web;boatos.org;31/07/2026;Donald Apertem os cintos, O Presidente mais poderoso do planeta Trump vem visitar pessoalmente o Jair Messias Bolsonaro. Com a temperatura máxima acontecendo no Brasil, o governador brasileiro vem barrando os homens do Imperador, com isso o próprio Donald Trump das Galáxias vem pessoalmente visitar o Ex Presidente do Brasil Jair Messias Bolsonaro. A qualquer momento o Imperador estará pousando em seu mais novo Force One no solo Brasileiro. Donald Trump vem ao Brasil para se encontrar pessoalmente com Jair Bolsonaro?! ?A notícia sobre a vinda do ex-presidente americano para visitar Bolsonaro já está dando o que falar e movimentando a política nacional e internacional! ?Para os apoiadores, esse encontro é o sinal de uma aliança histórica e fortalecimento da direita. Para os opositores, é pura provocação e estratégia política. ?O que esse encontro pode mudar no cenário atual? Siga a página para não perder nenhum detalhe dessa visita e ficar por dentro das notícias mais quentes do Brasil e do mundo! ?E você, o que acha dessa visita de Trump a Bolsonaro? Apoia esse encontro ou acha desnecessário? Comente sua opinião e siga nosso perfil para acompanhar tudo de perto!;0;6;1179;191;42;19;12;35;25;10;28;10;2;0,07;0,56;0,37
Fake news que aponta que Janones foi internado com frasco de perfume no reto se espalha na internet;boatos.org;31/07/2026;"Sim, a informação procede como fato registrado: o deputado federal Guilherme Janones foi internado em 2025 após introduzir um frasco de perfume no ânus, sofrendo perfuração intestinal que exigiu atendimento hospitalar de emergência. O caso ganhou ampla repercussão nacional na época. Importante contextualizar: O fato médico e a internação foram confirmados por registros hospitalares e notícias em veículos de comunicação; Não houve uma versão oficial detalhada sobre o motivo ou circunstâncias exatas do ocorrido, apenas o registro do atendimento e lesão grave; É amplamente difundido em redes e reportagens como o caso que causou grande choque e repercussão, como diz na imagem. Resumindo: é fato verificado que houve internação por lesão causada por esse objeto, não é boato inventado. ABSURDO! O QUE LEVOU ELE A FAZER ISSO? CASO QUE CHOCOU O BRASIL DEPUTADO JANONES HOSPITALIZADO DEPOIS DE FICAR COM FRASCO DE PERFUME PRESO NO RETO";0;6;936;145;128;12;13;40;22;5;14;3;2;0,13;0,8;0,07
